tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
AFP	This study		0.3	172.4	24.7	Y2102-1a_LP-DIR-AF	lancaste 2022-03-24 15:22:21	1.57E-06	9.64E-09	7.79E-09	4.05E-09	8	273	Y2102-1a_LP-DIR-AF-1	LT-NO:LP-DIR-AF	g	1	pmagpy-4.2.50	Y2102-1a	u	0	0	0	0		273
AFP	This study		0.4	170.8	24.4	Y2102-1a_LP-DIR-AF	lancaste 2022-04-19 15:00:04	1.56E-06	1.08E-08	7.55E-09	4.14E-09	8	273	Y2102-1a_LP-DIR-AF-2	LT-NO:LP-DIR-AF	g	2	pmagpy-4.2.50	Y2102-1a	u	0	0	0	0	1	273
AFP	This study		0.6	171.1	24.3	Y2102-1a_LP-DIR-AF	lancaste 2022-04-19 15:02:30	1.55E-06	1.04E-08	1.49E-08	3.37E-09	8	273	Y2102-1a_LP-DIR-AF-3	LT-AF-Z:LP-DIR-AF	g	3	pmagpy-4.2.50	Y2102-1a	u	0.0025	0	0	0	2	273
AFP	This study		0.5	171.1	24.3	Y2102-1a_LP-DIR-AF	lancaste 2022-04-19 15:04:48	1.53E-06	9.65E-09	1.13E-08	3.27E-09	8	273	Y2102-1a_LP-DIR-AF-4	LT-AF-Z:LP-DIR-AF	g	4	pmagpy-4.2.50	Y2102-1a	u	0.005	0	0	0	3	273
AFP	This study		0.4	171.1	24.2	Y2102-1a_LP-DIR-AF	lancaste 2022-04-19 15:07:06	1.48E-06	8.81E-09	9.23E-09	3.18E-09	8	273	Y2102-1a_LP-DIR-AF-5	LT-AF-Z:LP-DIR-AF	g	5	pmagpy-4.2.50	Y2102-1a	u	0.0075	0	0	0	4	273
AFP	This study		0.5	171.3	24.3	Y2102-1a_LP-DIR-AF	lancaste 2022-04-19 15:09:24	1.43E-06	9.12E-09	1.16E-08	3.10E-09	8	273	Y2102-1a_LP-DIR-AF-6	LT-AF-Z:LP-DIR-AF	g	6	pmagpy-4.2.50	Y2102-1a	u	0.01	0	0	0	5	273
AFP	This study		0.4	171.5	24.3	Y2102-1a_LP-DIR-AF	lancaste 2022-04-19 15:11:43	1.36E-06	8.80E-09	7.85E-09	2.96E-09	8	273	Y2102-1a_LP-DIR-AF-7	LT-AF-Z:LP-DIR-AF	g	7	pmagpy-4.2.50	Y2102-1a	u	0.0125	0	0	0	6	273
AFP	This study		0.4	171.3	24.4	Y2102-1a_LP-DIR-AF	lancaste 2022-04-19 15:14:01	1.29E-06	8.45E-09	7.21E-09	2.85E-09	8	273	Y2102-1a_LP-DIR-AF-8	LT-AF-Z:LP-DIR-AF	g	8	pmagpy-4.2.50	Y2102-1a	u	0.015	0	0	0	7	273
AFP	This study		0.3	171.7	24.4	Y2102-1a_LP-DIR-AF	lancaste 2022-04-19 15:16:19	1.17E-06	8.02E-09	4.69E-09	2.65E-09	8	273	Y2102-1a_LP-DIR-AF-9	LT-AF-Z:LP-DIR-AF	g	9	pmagpy-4.2.50	Y2102-1a	u	0.02	0	0	0	8	273
AFP	This study		0.4	171.8	24.3	Y2102-1a_LP-DIR-AF	lancaste 2022-04-19 15:18:37	1.09E-06	6.87E-09	6.73E-09	2.52E-09	8	273	Y2102-1a_LP-DIR-AF-10	LT-AF-Z:LP-DIR-AF	g	1	pmagpy-4.2.50	Y2102-1a	u	0.025	0	0	0	9	273
