tab 	samples
analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	height	lithologies	method_codes	sample	site
AFP	324.1	12.1	0	102.1	This study	-88	Igneous:Extrusive	Lava Flow	0.1	Rhyolite	SO-CMD-NORTH	Y2102-1	Y2102
AFP	331.2	12.1	0	102.1	This study	-83	Igneous:Extrusive	Lava Flow	0.3	Rhyolite	SO-CMD-NORTH	Y2102-2	Y2102
AFP	314.1	12.1	0	102.1	This study	-83	Igneous:Extrusive	Lava Flow	0.6	Rhyolite	SO-CMD-NORTH	Y2102-3	Y2102
AFP	318.1	12.1	0	102.1	This study	-84	Igneous:Extrusive	Lava Flow	0.8	Rhyolite	SO-CMD-NORTH	Y2102-4	Y2102
AFP	281.2	12.1	0	102.1	This study	-90	Igneous:Extrusive	Lava Flow	0.9	Rhyolite	SO-CMD-NORTH	Y2102-5	Y2102
AFP	256.1	12.1	0	102.1	This study	-91	Igneous:Extrusive	Lava Flow	0.1	Rhyolite	SO-CMD-NORTH	Y2102-6	Y2102
AFP	302.1	12.1	0	102.1	This study	-83	Igneous:Extrusive	Lava Flow	0.11	Rhyolite	SO-CMD-NORTH	Y2102-7	Y2102
AFP	302.1	12.1	0	102.1	This study	-94	Igneous:Extrusive	Lava Flow	0.12	Rhyolite	SO-CMD-NORTH	Y2102-8	Y2102
AFP	40.4	0	0	90	This study	-90	Igneous:Extrusive	Lava Flow	0.1	Rhyolite	SO-CMD-NORTH	Y211-1	Y211
AFP	39.4	0	0	90	This study	-82	Igneous:Extrusive	Lava Flow	0.3	Rhyolite	SO-CMD-NORTH	Y211-2	Y211
AFP	49.4	0	0	90	This study	-34	Igneous:Extrusive	Lava Flow	0.6	Rhyolite	SO-CMD-NORTH	Y211-3	Y211
AFP	176.4	0	0	90	This study	-68	Igneous:Extrusive	Lava Flow	0.8	Rhyolite	SO-CMD-NORTH	Y211-4	Y211
AFP	169.4	0	0	90	This study	-70	Igneous:Extrusive	Lava Flow	0.9	Rhyolite	SO-CMD-NORTH	Y211-5	Y211
AFP	5.4	0	0	90	This study	-94	Igneous:Extrusive	Lava Flow	0.1	Rhyolite	SO-CMD-NORTH	Y211-6	Y211
AFP	58.4	0	0	90	This study	-38	Igneous:Extrusive	Lava Flow	0.11	Rhyolite	SO-CMD-NORTH	Y211-7	Y211
AFP	15.4	0	0	90	This study	-81	Igneous:Extrusive	Lava Flow	0.12	Rhyolite	SO-CMD-NORTH	Y211-8	Y211
