tab 	specimens
analysts	citations	dir_bfv_dec	dir_bfv_inc	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	instrument_codes	int_corr	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y2102-1		Y2102-1a
	This study			Y212_chrm	0	343	66.2	0.6	1	12	0	Y2102-1a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-04-19 15:30:06	u	Rhyolite	0.08	0.005	T	LP-DIR-AF:DE-BFL-A:DA-DIR-GEO	g	Y2102-1	pmagpy-4.2.108: demag_gui	Y2102-1a
	This study			Y212_chrm	0.3	4.2	66.2	1	1	12	0	Y2102-2a_LP-DIR-T	Igneous:Extrusive	Lava Flow	lancaste 2022-05-18 08:53:42	u	Rhyolite	853	473	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	Y2102-2	pmagpy-4.2.108: demag_gui	Y2102-2a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y2102-2		Y2102-2a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y2102-2		Y2102-2b
	This study			Y212_chrm	1.1	0.8	65.7	2.5	1	12	0	Y2102-2b_LP-DIR-T	Igneous:Extrusive	Lava Flow	lancaste 2022-05-18 09:02:43	u	Rhyolite	853	523	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	Y2102-2	pmagpy-4.2.108: demag_gui	Y2102-2b
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y2102-3		Y2102-3a
	This study			Y212_chrm	0	342.3	69.6	0.9	1	8	0	Y2102-3a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-04-06 16:52:25	u	Rhyolite	0.08	0.02	T	LP-DIR-AF:DE-BFL-A:DA-DIR-GEO	g	Y2102-3	pmagpy-4.2.108: demag_gui	Y2102-3a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y2102-4		Y2102-4a
	This study			Y212_chrm	0.7	353.4	66.4	0.4	1	1	0	Y2102-4a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-04-19 16:02:34	u	Rhyolite	0.08	0.01	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	Y2102-4	pmagpy-4.2.108: demag_gui	Y2102-4a
